epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,4025.01,1.0778,0.67155,0.00438,0.64608,0.39011,0.46102,0.34771,0.96581,1.01081,0.00408,0.000900844,0.000900844,0.000900844
43,4120.2,1.05713,0.66437,0.00428,0.55317,0.41986,0.4645,0.35186,0.98027,1.00337,0.00416,0.000896127,0.000896127,0.000896127
44,4215.6,1.0547,0.66599,0.00424,0.59833,0.41406,0.47353,0.35437,0.98954,0.98908,0.00425,0.000891313,0.000891313,0.000891313
45,4311.01,1.03849,0.6539,0.00422,0.61989,0.39355,0.4577,0.34425,0.97435,0.97625,0.00413,0.000886404,0.000886404,0.000886404
46,4406.34,1.0376,0.63926,0.00417,0.5508,0.43814,0.46333,0.34801,0.97721,0.97557,0.00416,0.000881401,0.000881401,0.000881401
47,4501.75,1.01656,0.63908,0.00417,0.58406,0.42586,0.48175,0.36507,0.9688,0.98443,0.00413,0.000876305,0.000876305,0.000876305
48,4597.2,1.01527,0.63773,0.00411,0.63663,0.39934,0.46517,0.35242,0.96345,0.97211,0.00409,0.000871117,0.000871117,0.000871117
49,4692.5,1.00754,0.61377,0.00406,0.63937,0.39549,0.46407,0.35296,0.96799,0.98634,0.00406,0.000865839,0.000865839,0.000865839
50,4787.72,1.01683,0.60404,0.00413,0.6082,0.3956,0.46864,0.3522,0.96304,0.96085,0.00407,0.000860473,0.000860473,0.000860473
51,4883.18,0.99256,0.59861,0.00408,0.61629,0.40413,0.46053,0.34831,0.96168,0.98039,0.00408,0.000855018,0.000855018,0.000855018
52,4978.57,0.99134,0.60219,0.00395,0.58264,0.43688,0.49168,0.37141,0.96751,0.97419,0.00407,0.000849477,0.000849477,0.000849477
53,5073.92,0.98933,0.59915,0.00397,0.56222,0.43184,0.48081,0.36096,0.97737,1.00136,0.00415,0.000843851,0.000843851,0.000843851
54,5169.22,0.98005,0.57699,0.00398,0.60344,0.40807,0.47276,0.35647,0.96585,0.97955,0.00408,0.000838141,0.000838141,0.000838141
55,5264.3,0.95835,0.56607,0.00381,0.62425,0.38666,0.46808,0.35186,0.97628,0.98554,0.00413,0.000832349,0.000832349,0.000832349
56,5359.78,0.97247,0.57238,0.0039,0.63539,0.38958,0.47591,0.36227,0.96174,0.9846,0.00406,0.000826477,0.000826477,0.000826477
57,5454.92,0.95778,0.56452,0.00382,0.64122,0.40887,0.47199,0.35804,0.96402,1.00599,0.00406,0.000820525,0.000820525,0.000820525
58,5550.23,0.95656,0.55486,0.0038,0.56654,0.4484,0.46836,0.35316,0.96887,1.00982,0.00412,0.000814495,0.000814495,0.000814495
