epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,4338.2,1.16976,1.39246,0.00432,0.45338,0.2151,0.23408,0.17479,0.97948,1.21818,0.00405,1.99294e-05,1.99294e-05,1.99294e-05
40,4449.14,1.17024,1.39385,0.00438,0.48599,0.20771,0.24629,0.18623,0.97027,1.21023,0.00402,1.95076e-05,1.95076e-05,1.95076e-05
41,4560.2,1.16315,1.39135,0.00425,0.47663,0.21841,0.24922,0.1877,0.97829,1.20604,0.00409,1.90809e-05,1.90809e-05,1.90809e-05
42,4671.08,1.15735,1.3681,0.00425,0.45708,0.2246,0.24664,0.18494,0.97796,1.20248,0.00406,1.86499e-05,1.86499e-05,1.86499e-05
43,4782.15,1.17435,1.37148,0.00426,0.45423,0.2251,0.24963,0.18774,0.96999,1.20421,0.00403,1.82149e-05,1.82149e-05,1.82149e-05
44,4893.34,1.15842,1.34997,0.00415,0.49895,0.21924,0.2497,0.18771,0.97347,1.19644,0.00404,1.77764e-05,1.77764e-05,1.77764e-05
45,5004.27,1.14739,1.34476,0.00415,0.45501,0.23306,0.25336,0.1902,0.95959,1.18505,0.004,1.73349e-05,1.73349e-05,1.73349e-05
46,5115.35,1.13445,1.32075,0.00414,0.46964,0.22871,0.25388,0.18999,0.98934,1.18255,0.00413,1.68906e-05,1.68906e-05,1.68906e-05
47,5226.17,1.12801,1.30661,0.00409,0.46817,0.2325,0.25477,0.19098,0.97349,1.1824,0.00408,1.64442e-05,1.64442e-05,1.64442e-05
48,5337.51,1.13283,1.29408,0.00411,0.47847,0.23242,0.25696,0.19218,0.98174,1.17844,0.00408,1.59959e-05,1.59959e-05,1.59959e-05
49,5448.54,1.13727,1.28834,0.00416,0.46569,0.23197,0.25777,0.19468,0.97344,1.17214,0.00406,1.55464e-05,1.55464e-05,1.55464e-05
50,5559.35,1.12598,1.27779,0.00412,0.44676,0.23863,0.25751,0.19349,0.97295,1.17194,0.00405,1.50959e-05,1.50959e-05,1.50959e-05
51,5670.43,1.11916,1.2773,0.00403,0.48067,0.23763,0.26602,0.20105,0.96441,1.17249,0.00403,1.4645e-05,1.4645e-05,1.4645e-05
52,5781.37,1.12068,1.2852,0.00403,0.47128,0.23124,0.25728,0.19338,0.97712,1.17371,0.00405,1.41941e-05,1.41941e-05,1.41941e-05
53,5892.29,1.12711,1.28146,0.00412,0.46857,0.24111,0.26337,0.19829,0.97202,1.17505,0.00404,1.37436e-05,1.37436e-05,1.37436e-05
54,6003.75,1.11566,1.25448,0.00411,0.47101,0.23048,0.25908,0.19431,0.97929,1.17495,0.00407,1.32941e-05,1.32941e-05,1.32941e-05
55,6114.66,1.10526,1.24258,0.00403,0.46867,0.23484,0.26219,0.19768,0.97163,1.16509,0.00406,1.28458e-05,1.28458e-05,1.28458e-05
56,6225.67,1.09176,1.23451,0.00399,0.46625,0.24259,0.26528,0.19901,0.97566,1.16905,0.00406,1.23994e-05,1.23994e-05,1.23994e-05
57,6336.6,1.10703,1.23779,0.00392,0.48605,0.23643,0.26568,0.19905,0.97842,1.16544,0.00408,1.19551e-05,1.19551e-05,1.19551e-05
58,6447.36,1.0878,1.22139,0.00398,0.46382,0.23896,0.26555,0.19953,0.97685,1.16531,0.00408,1.15136e-05,1.15136e-05,1.15136e-05
59,6558.5,1.09212,1.21092,0.00397,0.47394,0.24486,0.27208,0.2057,0.97019,1.16324,0.00403,1.10751e-05,1.10751e-05,1.10751e-05
60,6669.51,1.09498,1.20866,0.00396,0.43296,0.25141,0.26866,0.20249,0.96965,1.15523,0.00405,1.06401e-05,1.06401e-05,1.06401e-05
61,6780.44,1.09681,1.20074,0.00406,0.47001,0.24219,0.26844,0.2023,0.96619,1.16086,0.00403,1.02091e-05,1.02091e-05,1.02091e-05
62,6891.48,1.09353,1.20963,0.00393,0.47607,0.23771,0.26707,0.201,0.96552,1.15781,0.00404,9.78242e-06,9.78242e-06,9.78242e-06
63,7002.64,1.09007,1.20693,0.00395,0.46496,0.23661,0.27034,0.20257,0.97244,1.16054,0.00406,9.36057e-06,9.36057e-06,9.36057e-06
64,7113.62,1.08634,1.19849,0.00388,0.46845,0.24834,0.27394,0.20542,0.97634,1.15456,0.00408,8.94394e-06,8.94394e-06,8.94394e-06
65,7224.76,1.06995,1.18029,0.00388,0.43838,0.2579,0.27407,0.20631,0.97376,1.15285,0.00406,8.53294e-06,8.53294e-06,8.53294e-06
66,7336.03,1.08048,1.18616,0.00391,0.47348,0.2429,0.27556,0.20813,0.96835,1.1553,0.00403,8.12797e-06,8.12797e-06,8.12797e-06
67,7447.14,1.0729,1.18858,0.00388,0.47204,0.24164,0.27672,0.20872,0.97403,1.1498,0.00408,7.72943e-06,7.72943e-06,7.72943e-06
68,7558.43,1.07892,1.18841,0.00394,0.47427,0.24374,0.278,0.21047,0.97074,1.14532,0.00405,7.33771e-06,7.33771e-06,7.33771e-06
69,7669.5,1.07642,1.18068,0.00392,0.43361,0.25845,0.27774,0.20909,0.97183,1.14258,0.00405,6.95321e-06,6.95321e-06,6.95321e-06
70,7780.56,1.0835,1.17654,0.00395,0.47652,0.23774,0.27893,0.21032,0.97193,1.14258,0.00407,6.57629e-06,6.57629e-06,6.57629e-06
71,7891.68,1.07067,1.17944,0.00383,0.49534,0.23761,0.27793,0.21108,0.96471,1.14294,0.00404,6.20734e-06,6.20734e-06,6.20734e-06
72,8002.66,1.07012,1.16897,0.00385,0.48608,0.2335,0.27782,0.20912,0.97432,1.14716,0.00407,5.84672e-06,5.84672e-06,5.84672e-06
73,8113.7,1.06941,1.17484,0.00388,0.45361,0.25863,0.27903,0.21016,0.97812,1.14572,0.00408,5.49478e-06,5.49478e-06,5.49478e-06
74,8224.59,1.06573,1.16307,0.0039,0.48269,0.23781,0.27723,0.2095,0.97333,1.1516,0.00407,5.15187e-06,5.15187e-06,5.15187e-06
75,8335.55,1.06931,1.17906,0.00388,0.45282,0.26117,0.28134,0.21356,0.96877,1.14492,0.00406,4.81833e-06,4.81833e-06,4.81833e-06
76,8446.74,1.06309,1.16643,0.00384,0.45307,0.25028,0.2781,0.20998,0.96925,1.14429,0.00405,4.49448e-06,4.49448e-06,4.49448e-06
77,8557.68,1.05896,1.16757,0.00387,0.46748,0.25038,0.27851,0.21011,0.97044,1.14586,0.00406,4.18066e-06,4.18066e-06,4.18066e-06
78,8668.61,1.06024,1.15664,0.00383,0.45914,0.24643,0.27825,0.20963,0.97233,1.14466,0.00406,3.87716e-06,3.87716e-06,3.87716e-06
79,8779.7,1.05727,1.16884,0.00381,0.47565,0.24319,0.28052,0.21148,0.97315,1.14286,0.00406,3.58428e-06,3.58428e-06,3.58428e-06
80,8890.5,1.0566,1.16615,0.00382,0.47867,0.24424,0.28103,0.21179,0.97417,1.14124,0.00408,3.30232e-06,3.30232e-06,3.30232e-06
81,9001.56,1.06563,1.16206,0.00392,0.45428,0.25904,0.28072,0.21196,0.96934,1.14225,0.00406,3.03156e-06,3.03156e-06,3.03156e-06
82,9112.43,1.05764,1.14628,0.00387,0.47418,0.24586,0.28437,0.21446,0.96593,1.14129,0.00404,2.77226e-06,2.77226e-06,2.77226e-06
83,9223.63,1.0501,1.1381,0.00377,0.49449,0.24164,0.28618,0.21594,0.9646,1.13595,0.00404,2.52467e-06,2.52467e-06,2.52467e-06
